الاسم,السعر,الماركة,رابط_الصورة,رابط_المنتج,sku
ايلي صعب  لي بارفيوم رويال للنساء او دي برفيوم 90 مل,379.99,ELIE SAAB,https://cdn.salla.sa/jvWnV/cd9exNt6ZLS1uSmjNtzqGQBVR0Yd49et4AU4T5yB.jpg,https://saeedsalah.com/ايلي-صعب-بارفيوم-رويال-للنساء-او-دي-برفيوم-90-مل/p1613172546,elie-saab-le-parfum-royal-for-women-edp-90-ml/p1613172546
ايلي صعب جيرل اوف ناو للنساء او دي برفيوم 90 مل,392.0,ELIE SAAB,https://cdn.salla.sa/jvWnV/gZ4pT7QrpZeB7PdEVcqs6yCYPIAKUFRbEfwlzh7x.jpg,https://saeedsalah.com/ايلي-صعب-جيرل-اوف-ناو-للنساء-او-دي-برفيوم-90-مل/p375054401,elie-saab-girl-of-now-for-women-edp-90-ml/p375054401
ايلي صعب لي بارفيوم وايت للنساء او دي برفيوم 90 مل,416.0,ELIE SAAB,https://cdn.salla.sa/jvWnV/4ab7a1e2-b83d-4fd7-8a71-d1b9110aa56f-1000x1000-T2oyqSfY5uuQPtA49nw7mzrIC8CGluCACRyOuTii.png,https://saeedsalah.com/ايلي-صعب-لي-بارفيوم-وايت-للنساء-او-دي-برفيوم-90-مل/p1787863623,elie-saab-le-parfum-white-for-women-edp-90-ml/p1787863623
ايلي صعب لـي برفيوم او دي بارفيوم 90 مل,379.99,ELIE SAAB,https://cdn.salla.sa/jvWnV/433448a1-e5eb-4bbb-9c1b-8b7c47ccfd01-1000x1000-EOONpJx0Dd3k4TTbsPTHIM7noR9ZSbpixT7OdYYp.png,https://saeedsalah.com/ايلي-صعب-ل-ي-برفيوم-او-دي-تواليت-90-مل/p415990598,elie-saab-le-parfum-edp-90-ml/p415990598
ايلي صعب نيوت نور للنساء او دي برفيوم 90 مل,330.0,ELIE SAAB,https://cdn.salla.sa/jvWnV/2mR5o3Myn0BBVeTCn7WQOA7svYzsmS0Zdd8JNtkV.jpg,https://saeedsalah.com/ايلي-صعب-نيوت-نور-للنساء-او-دي-برفيوم-90-مل/p1324180549,elie-saab-nuit-noor-for-women-edp-90-ml/p1324180549
ايلي صعب روز كوتير او دي برفيوم 100 مل,290.0,ELIE SAAB,https://cdn.salla.sa/jvWnV/pErwFCcJPuGr97oKGFwctnMs3L2yPHhNfZeKDGue.jpg,https://saeedsalah.com/ايلي-صعب-روز-كوتير-او-دي-برفيوم-100-مل/p2097169732,elie-saab-rose-couture-edt-100-ml/p2097169732
اكوا دي بارما كولونيا عود سبايس او دي برفيوم 100 مل,816.99,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/0b812dfd-09d1-4485-bcaa-306924b34771-1000x1000-nC8Q1b4Tjw5r2ZWBEqvTNiiNC6CFUh3B23qBErqf.png,https://saeedsalah.com/اكوا-دي-بارما-كولونيا-عود-سبايس-او-دي-برفيوم-100-مل/p124909689,acqua-di-parma-oud-and-spice-edp-100-ml/p124909689
اكوا دي بارما كولونيا كلوب للرجال 180 مل,609.99,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/6dcc728e-6e73-40fe-aedc-fbb861db99bf-1000x1000-tVOlruopFWn22aavbgcS83nYNVyzxCn7swWG4NXQ.png,https://saeedsalah.com/اكوا-دي-بارما-كولونيا-كلوب-للرجال-180-مل/p898947448,acqua-di-parma-colonia-club-for-men-edc-180-ml/p898947448
اكوا دي بارما ساندلو او دي برفيوم 180 مل,988.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/55ab851d-d855-4891-bba1-ed18219c0658-1000x1000-aySxCojQKFwr2to2SzW49mEHE7eBG12WVqsIfVKU.png,https://saeedsalah.com/اكوا-دي-بارما-ساندلو-كولونيا-او-دي-برفيوم-180-مل/p1540340351,acqua-di-parma-sandalo-edp-180-ml/p1540340351
اكوا دي بارما ساندلو او دي برفيوم 100 مل,792.01,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/bbd9ad93-7bfc-41f1-9829-62a65653b2df-1000x1000-bPABwrPk0l2Cfro7k5wvWMMuNzgtRzy30hoF8ofE.png,https://saeedsalah.com/اكوا-دي-بارما-ساندلو-او-دي-برفيوم-100-مل/p165845886,acqua-di-parma-sandalo-edp-100-ml/p165845886
اكوا دي بارما كورسيا او دي برفيوم 180 مل,988.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/80d433c6-aef3-4a65-894d-7979ad4d67c2-1000x1000-3gQ4d0RwDptdwn1GvvFO8067GLNBOByurIxjFSoH.png,https://saeedsalah.com/اكوا-دي-بارما-كورسيا-او-دي-برفيوم-180-مل/p1006926973,acqua-di-parma-quercia-edp-180-ml/p1006926973
اكوا دي بارما كورسيا او دي برفيوم 100 مل,792.01,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/9571a22b-9ea3-4390-ab09-f80eb8f84b64-1000x1000-poubUwOKszV6bVlX2AeUfmaXuL374IWq2CZz6qkS.png,https://saeedsalah.com/اكوا-دي-بارما-كورسيا-او-دي-برفيوم-100-مل/p1648319868,acqua-di-parma-quercia-edp-100-ml/p1648319868
اكوا دي بارما امبرا او دي برفيوم 180 مل,988.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/9ef57854-dd84-489b-967f-5616ea5e5a60-1000x1000-dNkobO3iMOiFNUg2sMB9T4w0coWv9AR7LxFGI2RQ.png,https://saeedsalah.com/اكوا-دي-بارما-امبرا-او-دي-برفيوم-180-مل/p273825395,acqua-di-parma-ambra-edp-180-ml/p273825395
اكوا دي بارما امبرا او دي برفيوم 100 مل,792.01,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/d1a696ce-cd1e-4ee8-9ef4-a6cc4b7e07a4-1000x1000-sls7jCY3feknS0NUsSVCrsphud3LFmCfLmOcvceR.png,https://saeedsalah.com/اكوا-دي-بارما-امبرا-او-دي-برفيوم-100-مل/p1182080882,acqua-di-parma-ambra-edp-100-ml/p1182080882
اكوا دي بارما ليذر او دي برفيوم 180 مل,988.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/97cdccf4-1cde-4c0c-9307-076619b48100-1000x1000-VctkUYIF3Chz6xXLyanE1u3yYtizyRwXebYbQLtD.png,https://saeedsalah.com/اكوا-دي-بارما-ليذر-او-دي-برفيوم-180-مل/p1957228657,acqua-de-di-parma-leather-edp180-ml/p1957228657
اكوا دي بارما ليذر او دي برفيوم 100 مل,792.01,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/47e580bf-abb2-4320-817e-f44c64be4800-1000x1000-9uic1pBhXn6Jbe4PMZV0FK58iU6iztp7nEic8PNG.png,https://saeedsalah.com/اكوا-دي-بارما-ليذر-او-دي-برفيوم-100-مل/p1223078519,acqua-di-parma-leather-edp-100-ml/p1223078519
اكوا دي بارما عود او دي برفيوم 100 مل,792.01,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/6629846b-5101-43e4-9484-18dc328de186-1000x1000-WVczALznwAS0MeAM8gXwq0FSTV2kxvZX2u4znzd7.png,https://saeedsalah.com/اكوا-دي-بارما-عود-او-دي-برفيوم-100-مل/p2132382582,acqua-di-parma-oud-edp-100-ml/p2132382582
اكوا دي بارما فانيجلايا او دي برفيوم 180 مل,988.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/51be526d-cf20-4a93-820b-bbade5068ed2-1000x1000-NYe4x4k6HBP8FHvOnO6bT4TLJzEfdYLloRNaSs6w.png,https://saeedsalah.com/اكوا-دي-بارما-فانيجلايا-او-دي-برفيوم-180-مل/p758346869,acqua-di-parma-vaniglia-edp-180-ml/p758346869
اكوا دي بارما فانيجلايا او دي برفيوم 100 مل,792.01,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/52f541f8-d01f-425e-9272-1df0a24ca88a-1000x1000-Toj4Bk7ayu0iEMnkOZtZtPNLUAVGitI9GxC1H3h8.png,https://saeedsalah.com/اكوا-دي-بارما-فانيجلايا-او-دي-برفيوم-100-مل/p25769579,acqua-di-parma-vaniglia-edp-100-ml/p25769579
